"Entry","Dir/File","Exists Where","Same?","Size (A)","Size (B)","Last Mod (A)","Last Mod(B)","Last Mod Delta (msecs)"
"Comparing : ""/Users/stephenreuterskiold/Desktop/28-Stu_Mini-Project/Develop"" to ""/Users/stephenreuterskiold/Desktop/28-Stu_Mini-Project/Main"" as of Wed Sep 20 21:53:38 EDT 2023"
".gitignore","FF","AB","=","65","65","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
".npmrc","FF","AB","B<>T<>","33","34","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client","DD","AB","","","","2023-09-20T21:35:30.000","2023-09-20T21:35:30.000","0"
"client/index.html","FF","AB","=","1844","1844","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/package.json","FF","AB","B<>T<>","224","803","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/src","DD","AB","","","","2023-09-20T21:35:30.000","2023-09-20T21:35:30.000","0"
"client/src-sw.js","FF","AB","B<>T<>","60","1262","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/src/css","DD","AB","","","","2023-09-20T21:35:30.000","2023-09-20T21:35:30.000","0"
"client/src/css/styles.css","FF","AB","=","28289","28289","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/src/images","DD","AB","","","","2023-09-20T21:35:30.000","2023-09-20T21:35:30.000","0"
"client/src/images/logo.png","FF","AB","=","11108","11108","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/src/js","DD","AB","","","","2023-09-20T21:35:30.000","2023-09-20T21:35:30.000","0"
"client/src/js/cards.js","FF","AB","B<>T<>","1713","1711","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/src/js/database.js","FF","AB","B<>T<>","460","2930","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/src/js/index.js","FF","AB","=","340","340","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/src/js/install.js","FF","AB","B<>T<>","559","742","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"client/webpack.config.js","FF","AB","B<>T<>","414","2041","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"package.json","FF","AB","B<>T<>","393","641","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"server","DD","AB","","","","2023-09-20T21:35:30.000","2023-09-20T21:35:30.000","0"
"server/package.json","FF","AB","=","335","335","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"server/routes","DD","AB","","","","2023-09-20T21:35:30.000","2023-09-20T21:35:30.000","0"
"server/routes/htmlRoutes.js","FF","AB","=","180","180","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
"server/server.js","FF","AB","=","343","343","2023-09-18T09:59:03.000","2023-09-20T09:48:34.000","172171000"
